text,label
"where did term ""tie the knot"" come from?",Education & Reference
How can the Chicago Cubs break their curse?,Sports
What's the cheapest source for ordering DVDs from Asia?,Entertainment & Music
Why are there 5 rings in the Olympics symbol?,Sports
What is the over/under for wins by the 49ers this season?,Sports
What was James Bond's wife's name?,Education & Reference
How do I take my money out of 401k without penalty?,Business & Finance
What are the rules around who can throw the ball in football?,Sports
What is the history of seeing eye dogs?,Education & Reference
"If I lose lots of money in stock in one year, can I carry the negative capital gain forward?",Business & Finance
"What are the steps required to edit, publish and distribute a book?",Business & Finance
When can a common man fly to moon?,Science & Mathematics
"Condo/townhouse pricing in San Jose, CA",Business & Finance
How does the Pope get his name?,Society & Culture
How long does take a space craft to get from the Earth to the Moon?,Science & Mathematics
At what level are math olympiads held for Kids?,Science & Mathematics
Can anyone list the short name of the common names?,Society & Culture
Do all professional athletes do steroids now?,Sports
Why is Dick a shortened version of the name Richard?,Society & Culture
How do you know if you're in love?,Family & Relationships
what is the cause for headaches,Science & Mathematics
Why didn't anyone send more buses to the Superdome earlier?,Politics & Government
What is the best YMU-compatible mp3 player out there?,Entertainment & Music
what are gamma ray bursts?,Science & Mathematics
Why's watching Television so addictive?,Science & Mathematics
What is the origin of the name 'Soccer'?,Sports
What's the capital city of Bolivia?,Science & Mathematics
Why is it so foggy in San Francisco?,Science & Mathematics
Why does it seem that most of the diets don't work on over weight people?,Health
Which car and house insurance company is recommended in California?,Business & Finance
how do Elephants communicate?,Science & Mathematics
How come the usage of alternate power generators is not more prevalent in a state like Californi,Politics & Government
Why is water transparent?,Science & Mathematics
"Why do all zippers have ""YKK"" on them?",Education & Reference
When do you use a semicolon instead of a colon?,Society & Culture
Why do people amputate dogs tail?,Science & Mathematics
How come stars are generally round?,Science & Mathematics
What is the best relational database?,Computers & Internet
Why do we yawn?,Science & Mathematics
Which cat has the largest variety of prey?,Science & Mathematics
Why can I see myself in a mirror?,Science & Mathematics
Where is the best place to cycle in San Francisco?,Sports
where is the best place to look for love?,Family & Relationships
what is the number one formula one car?,Sports
Number one formula one driver?,Sports
Why do I Sound Different When I Hear My Own Voice?,Science & Mathematics
What type of fresh-cut Christmas tree lasts the longest?,Society & Culture
what are the base colors?,Science & Mathematics
Who is Earth-2 Superman and how is he different from regular Superman?,Entertainment & Music
How do you become a judge on the Supreme Court?,Politics & Government
What is the oldest evidence of life?,Science & Mathematics
"Where did the band, The Dismemberment Plan, get their name from?",Entertainment & Music
What does 'zig' refer to in the All Your Base clip?,Entertainment & Music
What is the best way to learn chinese?,Society & Culture
Why is it considered unlucky to open an umbrella indoors?,Society & Culture
What is the name of the second US astronaut to land on the moon?,Education & Reference
Which singer has the largest number of records,Education & Reference
What animal laid the largest eggs?,Education & Reference
Can water be hotter then 100 Celsius degrees?,Science & Mathematics
Why do we only drink eggnog during Christmas?,Society & Culture
What's a good home based business?,Business & Finance
"what is a tag, and why is it being hailed by some people as the greatest thing since sliced bread?",Computers & Internet
What is the maximum number of identical stones so that after a look-alike is added...?,Science & Mathematics
Does anyone know any Lutheran Church in or nearby Phoenix?,Politics & Government
"What movie did Joe Pesci describe kids as ""YUTS""?",Entertainment & Music
Can you imagine seeing more colors?,Business & Finance
Who is the world's highest paid actress?,Entertainment & Music
Can you recommend a good preschool with childcare around New York?,Education & Reference
"What does ""xoxo"" stand for?",Education & Reference
Does echinacea really help prevent colds?,Health
What is  the largest city in the world?,Education & Reference
What are the effects of parental favoritism?,Family & Relationships
what is the biggest number  in the world?,Science & Mathematics
How did Calvin and Hobbes meet?,Entertainment & Music
where can i find a women's basketball league to join?,Sports
What is the best place to get guitar lessons in the South Bay Area?,Entertainment & Music
What is the boot-shaped country found in Southern Europe?,Science & Mathematics
What is the only state in the US whose governor has no veto power?,Science & Mathematics
Which soccer team has won the most European club championships?,Sports
Where can I find information about Superlatives?,Education & Reference
Why do we get tickled when somebody tickles us and we don't when we tickle ourselves?,Science & Mathematics
Why are the San Francisco 49er's Sucking so Bad Again?,Sports
what is the temperature on the sun and how to calculate the lost of heat per distance from it?,Science & Mathematics
Who is going to pick up Terrell Owens after he comes off suspension?,Sports
Should T.O. be allowed to play for Eagles or any other team this season?,Sports
What does it take to be a teacher?,Education & Reference
What does 4 8 15 16 23 42 _really_ mean?,Entertainment & Music
looking for a good spa in the SF bay area,Health
who should I start this week in fantasy football? Delhomme @BUF or Brooks @NYJ?,Sports
What are the options for volleyball leagues in the south bay and SF?,Sports
Why was the Passion of Christ a controversial movie?,Entertainment & Music
how can I recover the security key for my Yahoo! account?,Computers & Internet
I'm new to road biking and need a bike under $1000. What frame and parts do you recommend?,Sports
Is there a place where I can see graphs of U.S. National Budget allocations for the last few years?,Politics & Government
"Who said ""Beauty is in the eye of the beholder""?",Education & Reference
Why doesn't college football have a playoff system?,Sports
What kind of guitar is that?,Entertainment & Music
What is a good entry-level road bike to purchase?,Sports
Who holds the single season rushing yards in NFL?,Sports
Should US computer programmers be worried about outsourcing trend to India and other countries?,Business & Finance
"If light travels faster than sound, then why do we hear sound first and then see picture when we turn on TV ?",Science & Mathematics
What is the minimum GPA to get into colleges?,Education & Reference
How do I write a resume?,Business & Finance
How long is the wall of china?,Education & Reference
Where can I find help about an inventor or invention?,Education & Reference
What should I look for when buying a laptop? What is the best brand and what's reliable?,Computers & Internet
Who is the most famous woman athlete of all time?,Sports
Could a very powerful directional microphone pickup sounds from the past?,Science & Mathematics
What should I offer for Xmas to my grand'ma ?,Business & Finance
is there a good art school in the San Francisco bay area?,Education & Reference
What is a motherboard?,Computers & Internet
What was the first currency ever used?,Society & Culture
Where can I get ideas for our science project?,Education & Reference
what are the materials that can be used to produce laser beam?,Science & Mathematics
What is the difference between software and hardware?,Computers & Internet
What is the Arizona river that flows into the Colorado?,Science & Mathematics
Is there any proven evidence that Mars at some point in the past had microscopic life?,Science & Mathematics
should i trade Baron Davis and Joe Johnson for Allen Iverson?,Sports
"What does ""ZIP code"" stand for?",Education & Reference
What is programming?,Computers & Internet
What is the oldest magazine that is still in circulation?,Entertainment & Music
Do you really need 8 hours of sleep every night?,Health
"If God is both all loving and all powerful, how can he/she/it allow suffering to exist?",Society & Culture
Where can you donate an old encyclopedia set?,Business & Finance
What does LASER stand for?,Science & Mathematics
Is there another cure for headaches besides taking pain killers?,Health
Would it seriously affect my chances of getting into college if I don't have a high SAT score?,Education & Reference
What's the market share of GM and Ford together in the USA?,Business & Finance
Why do we get hiccups?,Science & Mathematics
What are the best ways to incentivise people to answer questions here?,Computers & Internet
Does anyone have a recommendation for a good CPA who charges reasonable fees in Indianapolis?,Business & Finance
Can you recommend a good credit union located in St. Louis?,Business & Finance
What bowl game will Penn State be going to?  What's the best way to get tickets?,Sports
How many U.S. states are named after kings or queens?,Science & Mathematics
Should cell phones and PDAs be allowed in school? Why or why not?,Education & Reference
How do you bring up the salary subject during an interview if the interviewer didn't bring it up?,Business & Finance
What is Indie genre?,Entertainment & Music
Why do human have five fingers and five toes?,Science & Mathematics
What is the difference betwen a close knit family and extended family?,Family & Relationships
Who had the shortest celebrity marriage?,Entertainment & Music
How can I stop getting junk mail?,Business & Finance
Why do men wear neckties?,Education & Reference
"Where is the nearest US post office in Se 5th Ave, Portland?",Politics & Government
"Why do people have the bird, turkey for thanksgiving?",Society & Culture
How can I record audio directly from the browser to the web server?,Computers & Internet
Why do we celebrate Christmas eve?,Society & Culture
"Is there a way in MS Excel to have a cell be equal to multiple cells? e.g.= D3 and D5, where d3 & 5 are words?",Computers & Internet
Can you give me tips on how to get over an ex?,Family & Relationships
Which TV show got higher ratings?,Entertainment & Music
Who played Will's dad on Will and Grace?,Entertainment & Music
Why are handicapped bathroom stalls always built at the end of the restroom?,Education & Reference
"Who said ""Do, or do not. There is no 'try'""?",Education & Reference
How should I act on a date?,Family & Relationships
How many countries and territories are there in the world?,Science & Mathematics
How far is it to the moon?,Science & Mathematics
What language gave us the words Kimono and Futon?,Education & Reference
"What is the best LCD monitor 19""-25""?",Computers & Internet
What state has its capital at Hartford?,Science & Mathematics
What song that was played whenever they showed the dancing baby on Alley McBeal?,Entertainment & Music
What does RSVP stand for?,Education & Reference
Where's a good place to buy a skirt for beneath the Christmas tree?,Business & Finance
Public transportation options in Los Angeles?,Politics & Government
What does RSS means ?,Computers & Internet
What do you think of the Maury Povich Show?,Entertainment & Music
How come it seems like Lottery winners are always the ones that buy tickets in low income areas.?,Politics & Government
which was the best national team ever in a FIFA World Cup?,Sports
How do I protect myself from credit card scam?,Business & Finance
When did women start competing in sports?,Sports
How much do sound cards cost?,Computers & Internet
What do I need to open PDF files?,Computers & Internet
Does anyone know a good tutoring service for k-12 around Philadelphia?,Education & Reference
What is the difference between quote and quotation?,Education & Reference
What are the qualities that a good friend should have?,Family & Relationships
Can you recommend a residential real estate appraisal firm around Kansas?,Business & Finance
What are the best single tracks for Mt. biking in the bay area?,Sports
What building housed the first elevator?,Education & Reference
"What does ""folksonomy"" mean?",Computers & Internet
Are Wireless Networks Secure?,Computers & Internet
Is it legal to publicly rate medical doctors?,Politics & Government
When is Jojo going to the shop?,Society & Culture
What makes a teacher want to leave their profession?,Education & Reference
How do I tone my butt? What's the best exercise for butts?,Health
"Can I use 26"" mountain bike rims for my cyclocross-frame bike?",Sports
how many members does the German Bundestag consist of?,Politics & Government
How can I find the state symbols for a state?,Education & Reference
How many words with 10 letters are there in the US dictionary?,Education & Reference
"What is the origin of the word ""cop""?",Education & Reference
Which country is most corrupt?,Politics & Government
Where can I find a not-for-profit humane society in Denver?,Politics & Government
What should I have in my disaster emergency kit stored out side my house?,Business & Finance
Which part-time MBA program will add value to a software developer with 15 years experience?,Education & Reference
Are humans still evolving?,Science & Mathematics
What is the United States' annual homeland security budget?,Politics & Government
what is a double layer DVD burner?,Computers & Internet
Does anyone know a good apartment rental agency around Washington DC?,Business & Finance
How do you negotiate a job offer?,Business & Finance
Is there anywhere that rents UMD movies for PSP?,Entertainment & Music
Who to start on defense this week?,Sports
What was the name of King Arthur's sword?,Education & Reference
Will there be a third kill bill?,Entertainment & Music
Which player led the USA Basketball team (original Dream Team) in scoring in the 1992 Olympics in Barcelona?,Sports
Why are blueberries so good for your health?,Health
"What is the meaning behind the song ""the reflex"" by Duran Duran?",Entertainment & Music
"As a novice runner, how many weeks/months do I need to properly train for a marathon?",Health
Which religion is the right one?,Society & Culture
How can I cure my hiccups?,Health
Why do Canadians Celebrate Thanks giving?,Society & Culture
What is Visual Basic?,Computers & Internet
What's your definition of Web 2.0?,Computers & Internet
Should the A's trade Zito this off-season?,Sports
Should high schools offer classes on SAT for all?,Education & Reference
which is the more powerful crime family - the corleone's or the soprano's?,Entertainment & Music
Why are the Dutch so tall?,Science & Mathematics
"Any great, top quality language schools in Dallas?",Education & Reference
Where can I find help about a war?,Education & Reference
Should the Sharks trade Evgeni Nabokov?,Sports
Can animals really predict earthquakes?,Science & Mathematics
"Who wrote the screen play for ""The Big Lebowski""?",Entertainment & Music
Where can I get antivirus software if I don't have it installed?,Computers & Internet
Is there a dictionary for slang words?,Education & Reference
What is your favorite quotation by a famous author?,Education & Reference
when did the Titanic sink?,Business & Finance
Is it important to send a thank you note after an interview?,Business & Finance
"how google and ""evil"" relate?",Computers & Internet
"What was Earvin ""Magic"" Johnson's nickname as a youngster in Michigan, before he came to be known as Magic?",Sports
will golden state warriors make it to the playoffs this year ?,Sports
I have a desktop with a 82845 GL Intel integrated video card 64MB w/ no AGP slot.  Should I upgrade via PCI?,Computers & Internet
How can I find the dhcp server on Linux ?,Computers & Internet
What are the best places for downhill skateboarding in California?,Sports
What is the difference between permutations and combinations?,Science & Mathematics
"What does ""buck naked"" mean?",Education & Reference
Who is the best soccer player in the world? Accordingly to FIFA and accordingly to general audience?,Sports
How many answers does a typical Q&A question get?,Business & Finance
Will there ever be another figure in rock that comes even close to Jimi Hendrix?,Entertainment & Music
"In the quest for dazzling teeth, how harmful are teeth whitening strips?",Health
"Can someone *simply* explain what a stock ""short"" is?",Business & Finance
Is there a cure for malaria?,Science & Mathematics
"Which came first, the chicken or the egg?",Science & Mathematics
Any learning center that offers Personalized tutoring programs in Portland?,Education & Reference
How do I find out how much RAM my computer has?,Computers & Internet
What does Sarbaines Oxley compliant mean?,Politics & Government
Is there a  public place in bay area where one can stay late till 1 am and do  home work or read.  ?,Business & Finance
Are expensive urethane golf balls e.g. Titleist Pro V1 worth it for the normal club golfer?,Sports
"Do you have a recommendation for a clean, quiet and decent apartment complex in Vegas?",Business & Finance
What is the meaning of life?,Society & Culture
What is the difference between dating and in a relationship?,Family & Relationships
Where can I find a list of important events from a year in history?,Education & Reference
"Why in the House of Commons does the P.M. often say ""I refer the hon. gentleman to the answer I gave earlier""?",Politics & Government
How to get rid of stretch marks after pregnancy?,Health
Why is SAT important?,Education & Reference
Why do people love Oprah?,Entertainment & Music
Can I view everything on the Internet via the wireless network?,Computers & Internet
"Is there an English equivalent for the male firstname ""Reinhard""?",Society & Culture
what is the most popular programming laguage in use today?,Computers & Internet
What are the odds of life on another planet?,Science & Mathematics
What is your opinion on online dating?,Family & Relationships
Why do shoes have heels?  Feet were designed flat...?,Society & Culture
Should I fly back to Sunnyvale (from WI) for the Year end party? Is it worth it?I'?,Society & Culture
If your co-worker has a white head thats ready to pop should you be able to go over there and pop it for him?,Health
How can I tell if the moon is waxing or waning?,Science & Mathematics
What do you call the 4-stringed Hawaiian instrument which looks like a little guitar?,Education & Reference
What are the Seven Sisters schools? Are they considered as good colleges?,Education & Reference
why does the bird flu considered to be such a frightening disease?,Health
What can be done to lower the dropout rate in High Schools?,Education & Reference
What is paraphrasing?,Education & Reference
how can i watch soccer on tv in California?,Sports
what is the system for ranking foosball players and how does it work?,Sports
Why do filipinos eat with their bare hands?,Society & Culture
Wireless router setup?,Computers & Internet
How many albums does an artist have to sell to get a gold or platinum record?,Entertainment & Music
Who sailed from Spain around the tip of S. America & across the Pacific Ocean to the Phils.?,Science & Mathematics
When was Archie comics published?,Entertainment & Music
How can we improve the quality of the teachers in high schools?,Education & Reference
what was Hitchcock best movie?,Entertainment & Music
How are animals classified?,Education & Reference
When to start / have mammograms?,Health
who was the first man to climb all the 8.000 m mountains in the world?,Sports
How can i run a regression in Excel?,Computers & Internet
"If you were asked to plan the ""perfect weekend"" for a guy, what would you include?",Family & Relationships
How is it that different countries have come up with different styles of electrical socket pins?,Science & Mathematics
Should I rent or buy?,Business & Finance
how many zip codes in the us ?,Business & Finance
"What did Nate ""Tiny"" Archibald do in the 1972-73 NBA season that no one had done before or since?",Sports
Are there good surf spots on India's coast?,Sports
What can you say to someone on their deathbed to help put their mind at ease?,Health
Why is the sky blue?,Science & Mathematics
best place to meet guys in the bay area?,Family & Relationships
How do I end a date with a girl I'm not interested in?,Family & Relationships
Who is Helena in the song Helena by My Chemical Romance?,Entertainment & Music
Is Thanksgiving only celebrated in the United States?,Society & Culture
How to fight graft and corruption?,Politics & Government
What company built a brewery in a major league baseball stadium?,Education & Reference
Do you have a recommendation for a quiet and decent apartment complex around Houston?,Business & Finance
How can I tell if my software includes spyware or adware?,Computers & Internet
What are the most popular blogging tools?,Computers & Internet
What is the best checking account balancing interest and service?,Business & Finance
What site can I go to to find out how many seconds are in a year?,Education & Reference
What was the last Hanna-Barbera prime-time cartoon series? And what year did it air?,Entertainment & Music
Explanation for correlated wave function collapse at a distance (Quantum Mechanics)?,Science & Mathematics
"If you were on the world's biggest island, where would you be?",Science & Mathematics
how many mountains in the world are 8.000 m (26k feet) or more?,Science & Mathematics
What does being loyal to a friend mean?,Family & Relationships
"In the six nations, why is 'prize' for the team that does not win a single game called ""wooden spoon""?",Sports
Where do babies come from?,Science & Mathematics
Can you recommend a good preschool with childcare around Philly?,Education & Reference
What do you think is the single most important event of a High Schooler's life?,Education & Reference
What ever happened to Ask Jeeves??? Was those questions answered by real people also?,Business & Finance
Do women expect a kiss on the first date?,Family & Relationships
Why is the voltage ratinging always a multiple of 11 ?,Science & Mathematics
What's the best prog. language to learn? What's the easiest to get into?,Computers & Internet
How do bowlers get reverse swing in cricket?,Sports
What's the Hacker's Diet?,Health
"if a plane was on some type of treadmill that detects speed, will it ever take off?",Science & Mathematics
Is it a good time to buy a house in Los Altos CA?,Business & Finance
How can one stop thinking constantly about an ex?,Family & Relationships
What does Adobe Reader do?,Computers & Internet
Am I (Arnold) stronger then Rambo?,Entertainment & Music
"Who said ""I am not bound to please thee with my answers""?",Education & Reference
What New England state contains the Penobscot River?,Science & Mathematics
What's the difference between online chat and instant messaging?,Computers & Internet
what is the average cost of an engineer in India comparing to the US?,Business & Finance
how much does ebay charge for selling stuff?,Business & Finance
Where is the gum?,Health
"Does anyone know what ""piggy back"" means?",Education & Reference
who was the second leading scorer on philadelphia the night wilt chamberlain scored 100 points in a game?,Sports
How do I change the nickname I chose when I first logged in to qa.yahoo.com?,Computers & Internet
Why are the colors of Christmas red and green?  What do these colors symbolize?,Society & Culture
What is a good platform for writing complex web apps in php?,Computers & Internet
Should teachers be required to renew their credentials every 5 years?,Education & Reference
How should I encrypt/pw protect my backup files on an external harddrive for easy recovery on any machine?,Computers & Internet
What is the difference between a state and a nation?,Politics & Government
What is the difference between Notepad and WordPad?,Computers & Internet
What is the best microphone or headset for recording a podcast?,Computers & Internet
"I've heard of a ""Green flash"" when the Sun sets. Does this happen? Only over the ocean? Why?",Science & Mathematics
Can eyesight be trained or improved?  How?,Health
What is the 4th largest city in the U.S.?,Science & Mathematics
Do best friends always have to do and share everything together?,Family & Relationships
When is Thanksgiving celebrated in Canada?,Society & Culture
What is a legal separation?,Family & Relationships
"What do you mean by ""The grass is always greener on the other side of the fence""?",Education & Reference
Where is the hottest place on earth?,Science & Mathematics
What color do you paint the town when you go partying around the it?,Education & Reference
Why did the 80's rock group Husker Dü breakup?,Entertainment & Music
Can someone explain to me what Ruby on Rails is all about?,Computers & Internet
Do love relationships with co-workers work?,Family & Relationships
why is the earth round?,Science & Mathematics
Where is the best place around here (Mountain View) for a novice to go for skydiving ?,Sports
Who will win 2005 heisman trophy? Reggie? Vince? Matt?,Sports
What is the difference between phishing and pharming?,Computers & Internet
What's a good way to find a pick-up basketball game?,Sports
do i need to pay tax before filing tax return if i sell my ISO stock options this year?,Business & Finance
How do I roll my 401(k) over to a traditional IRA?,Business & Finance
"Is this the end of the housing boom? For October, existing home sales was down while new home sales surged.?",Business & Finance
"What is the best Tennis club in or near Sunnyvale, CA?",Sports
"Parttime MBA or Certification in Management, which one is better. Where can I do the Mgmt. certification from.",Education & Reference
Would Amazon sell as much stuff if they required California residents to pay tax?,Business & Finance
I am being harassed by a telemarketing company even though i requested to be not called. Help?,Business & Finance
Are there excellent Catholic schools in Las Vegas?,Education & Reference
What animal species are monogamous?,Science & Mathematics
What is the role of music in evolution?,Science & Mathematics
"why ""liberal"" in the US is considered as ""left"", while in europe is used to define a conservative?",Politics & Government
Which is better for back pain-- ice or heat?,Health
Where can I buy a copy of Hypercard 2.4 for Mac?,Computers & Internet
What is Michael Jordan doing now? Is he working?,Sports
What is the other nickname of Georgia besides Peach State?,Science & Mathematics
"What Warner Bros. cartoon character turned 50 yrs old on September 16, 1999?",Entertainment & Music
why some companies have survived for more then 50 years while others have failed only after 5?   why is that ?,Business & Finance
What is the difference between AGP and PCI graphics cards?,Computers & Internet
Who Will be the League MVP this Year?,Sports
What is the best slope in Tahoe for snowboarders?,Sports
What is the difference between networking and pyramiding?,Business & Finance
What does the term playing hooky mean?,Education & Reference
Who invented the mouse?,Computers & Internet
How Much Wood Can A Wood Chuck Chuck?,Science & Mathematics
What was Alfred Hitchcock's contribution to the movie industry?,Entertainment & Music
"Where did the term ""I'll be there with bells on"" originate?",Education & Reference
Why are we here?,Business & Finance
Which is better a Linux operating system over a Windows operating system?,Computers & Internet
What is the size of Paris Hilton's feet?,Entertainment & Music
How does this site make money?,Business & Finance
how can you cause a toddler to do something that they don't want to do?,Family & Relationships
What triangle shaped island is the largest in the Mediterranean?,Science & Mathematics
What is a router?,Computers & Internet
What is a family?,Family & Relationships
What's the best age gap between siblings?,Family & Relationships
What is the world's largest island?,Education & Reference
"what does ""The Forgotten Arm,"" in the title of Aimee's new album mean?",Entertainment & Music
what's the best Sirius satellite radio to get?,Entertainment & Music
What's the best search engine?,Computers & Internet
How do you set-up a personal video recorder without monthly fees?,Entertainment & Music
What's the name of Paris Hilton's pet dog?,Entertainment & Music
What are the advantages of a compact crankset over a triple on a bicycle?,Sports
Can someone direct to me to a good site about volcanoes?,Education & Reference
How much wood could a wood chuck chuck if a wood chuck could chuck wood?,Education & Reference
Who is the best formula 1 driver to ever live?,Sports
What is the name of Ariel Sharon's new party?,Politics & Government
How many colleges require you to have a foreign language credit?,Education & Reference
Why do videos run slow on my computer?,Computers & Internet
who won the world series?,Sports
What exactly is the difference between stock options and stock grants?,Business & Finance
"Is the song, ""Puff the Magic Dragon"" really about drugs?",Entertainment & Music
"Which came first, the chicken or the egg?",Education & Reference
who holds the nba record for most consecutive 3 point field goals made?,Sports
"For $1000 or less, what's the best 1600x1200 LCD monitor for digital photography? I.e., most accurate color?",Computers & Internet
In what year did Billie Joe Armstrong of Green Day get married?,Entertainment & Music
how come our eyes are located in the front and not on the side of the head?,Science & Mathematics
What is SAP?,Computers & Internet
How do you clean a computer monitor's screen?,Computers & Internet
What's better Snowboarding or Skiing?,Sports
Where is the best place to park when going to a San Jose Sharks Game?,Entertainment & Music
"Why do we call the initial test ""alpha test"" and the next test ""beta test""?",Education & Reference
Why did the Replacements break up?,Entertainment & Music
Where can I find out the history of a holiday?,Education & Reference
What is Bill Russell's single game career high for total rebounds?,Sports
What is the difference between a tigon and a liger?,Business & Finance
Can anyone recommend a reliable and cost effective person to do our personal Trust and will?,Business & Finance
Who was Pele's best companion at the Santos attack?,Sports
How do you feel about sex education for 4th and 5th graders? Is it too soon?,Education & Reference
What sea separates Norway from Northern England?,Science & Mathematics
why does polar bear's fur turn green?,Science & Mathematics
do you think that the people who make Evian bottled water meant for it to be spelled Naive backwards?,Business & Finance
what is the fibbonacci sequence?,Science & Mathematics
How did language start?,Education & Reference
What is the Capital City of Jamaica?,Science & Mathematics
Is there a way to change google earth to night-time images?,Computers & Internet
are all women capable of having orgasms during sex  -even obese people?,Business & Finance
What is the Knights of Malta Military Roll and Situation In This Century specially after the year 2000  ?,Politics & Government
How come when ever you did a hole there is never enough dirt to fill it back in?,Science & Mathematics
Does the CIA own yahoo?,Politics & Government
help with a spainish to english translation from Colombia- what does this say?,Society & Culture
I can't find add contact on Yahoo Msg.  Think don't have.?,Business & Finance
6th Wedding Anniversary - Any Ideas?,Family & Relationships
What kind of animal were the ANIMANIACS?,Entertainment & Music
how about a index or table of contants of all on the web? too convienent??,Business & Finance
i need help with using sparknotes.com. please click this q if you can help for more details. thanx?,Education & Reference
want to see gross things?,Business & Finance
will the raiders be a playoff contender next year and who will be thier starting qb?,Sports
What is the best free flash arcade on the internet?,Computers & Internet
what is the role of a nickname in a chat session?,Education & Reference
What is the best disposable razor?,Health
would women that are gay like sex?,Business & Finance
Does north Korean speak the same language with south Korean ?,Society & Culture
what is your favorite military movie?,Politics & Government
what books to read and how to study for USMLE part2 medical licensing exam in USA?,Education & Reference
Why do the jews need Palestine for themselves?,Politics & Government
why some married couples watch sexy movies together ?,Family & Relationships
What is the best sports magazine?,Sports
What is the most abundant triatomic molecule in the Universe?,Science & Mathematics
Date Riddle?,Education & Reference
How much does the program Photoshop cost ( the newest version)?,Computers & Internet
How long has Yahoo! answers been out?,Education & Reference
Why can't I think of any good questions?,Business & Finance
How to you deal with a loud spoken bully in office?,Business & Finance
"Taday is 31 December,is the last day of 2005!?",Business & Finance
Why doesn't Hello Kitty have a mouth?,Entertainment & Music
how can i work with the cleanup in new orleans from hurricaine katrina?,Politics & Government
what is your worst nightmare?,Business & Finance
what is the best free web based Email (other than Yahoo!)?,Computers & Internet
i want to make my pc email server how??,Computers & Internet
how do i get into a chatroom on yahoo?,Business & Finance
How can I let this guy know that I like him and want to spend time with him w/o getting to close to fast?,Business & Finance
hello dos eaney bodey know fo a alternative releaf for LUPUS sufferes thanks genuing question?,Health
"Am I the only person who really, really hate clowns?",Business & Finance
"What is that,that 62% of canadian women have done.Please reply as soon as possible.?",Education & Reference
I'm tired.  It's 9:02pm.  Should I go to bed or stay up awhile?,Health
I am very bored. What should I do?,Business & Finance
Is there an allergy medication specifically for dog dander that's better than others?,Health
Who do you think is the hottest celeb ever?,Entertainment & Music
Why did the U.S. stop sending people to the moon?,Science & Mathematics
i am looking for people in guatemala city?,Family & Relationships
Who is Jeff Palmer?,Business & Finance
"I tried to update java and it would not go thur , do i need to reinstall it and how do i?",Computers & Internet
how do beta blocking hypertension meds work and explain the meaning of beta in this situation.?,Science & Mathematics
what's your opinion about sexual relation between girls and boys?,Family & Relationships
What do you think of the U.S.'s economy?,Business & Finance
what does fundamentalism mean?,Business & Finance
"Will the Texas Rangers ever entice good pitchers, given that their ballpark is hitter friendly?",Sports
Whats the difference between gas operated and blowback operated Guns??,Business & Finance
What are ways to relieve stress?,Education & Reference
what is speed windsurfing?,Sports
What is the best hard disk defragmenter?,Computers & Internet
"Using CSS, how would I make an image glued to the bottom of the browser and centered?",Computers & Internet
I need a cv. in english?,Business & Finance
"Which Cross Country Skis are better? Rossis, Fischer RCS, or Atomic beta?",Sports
"Is there an English equivalentto the German ""doch""?",Society & Culture
need to find reserch about work ethics?,Business & Finance
is there any web site where i can get free computer software books for download?,Computers & Internet
